time(s),#counted,,times(s),#counted_sample,,#sample-background
,,,,,,
10.3,5,,10,316,,311
9.7,5,,10.2,289,,284
10.2,4,,9.9,309,,305
9.8,5,,10.1,312,,307
10.1,6,,9.9,257,,251
10.5,3,,10,296,,293
9.6,7,,10,262,,255
10.1,3,,10,285,,282
10.1,4,,10,278,,274
10.2,1,,9.8,286,,285
10,2,,10.3,278,,276
9.8,1,,9.9,299,,298
10.4,1,,10,298,,297
9.8,2,,10.1,332,,330
10.1,5,,10.1,282,,277
10.4,6,,9.7,309,,303
9.6,4,,10.3,318,,314
10,2,,9.9,310,,308
10.5,0,,10,266,,266
9.9,2,,10,295,,293
9.4,7,,10,288,,281
10.6,4,,10,311,,307
10.1,4,,9.9,269,,265
9.9,1,,10,287,,286
10.2,1,,10,286,,285
9.7,5,,10.1,303,,298
10.3,4,,10,297,,293
9.9,2,,9.8,274,,272
9.6,3,,10.1,302,,299
10.2,2,,10,288,,286
10,4,,10.1,311,,307
10.1,5,,10,269,,264
9.9,6,,10,285,,279
10.1,3,,10,259,,256
9.7,1,,10.1,284,,283
10.1,7,,10,284,,277
10.4,8,,10.1,276,,268
10.2,4,,9.9,287,,283
9.4,4,,10.1,261,,257
10.9,9,,9.9,277,,268
9.5,11,,10,281,,270
10.3,9,,10.1,279,,270
10.1,2,,10,294,,292
10.3,5,,9.9,264,,259
9.9,5,,10.1,307,,302
9.9,2,,9.9,308,,306
9.9,3,,10.1,290,,287
10.1,6,,10,263,,257
10.3,5,,10,299,,294
9.8,2,,9.9,277,,275
10,2,,10,294,,292
9.9,1,,10,290,,289
10.1,4,,10.1,263,,259
9.7,2,,9.9,277,,275
9.9,4,,10,286,,282
10,1,,10,290,,289
10.3,1,,9.9,290,,289
9.9,3,,10.1,315,,312
9.7,3,,10.1,276,,273
10.3,3,,9.8,266,,263
9.9,2,,10.2,327,,325
9.8,3,,10,291,,288
10.1,4,,10,277,,273
10.1,7,,10,265,,258
9.7,6,,10.3,279,,273
9.9,3,,9.7,300,,297
10.2,6,,9.9,285,,279
9.8,1,,10,305,,304
10,2,,10,275,,273
10.2,5,,10,284,,279
10.2,1,,10.1,278,,277
9.7,4,,10,280,,276
10.4,7,,10,296,,289
9.9,3,,10.1,262,,259
9.6,2,,9.8,301,,299
10.8,4,,10,285,,281
10.7,5,,10.1,288,,283
9.9,6,,10,263,,257
10.1,8,,9.2,285,,277
10.6,4,,10.1,303,,299
9.7,6,,9.8,304,,298
9.9,3,,10.1,306,,303
10,1,,10,294,,293
10,5,,10,304,,299
10,10,,10.1,320,,310
10.2,4,,9.8,259,,255
9.9,3,,10.1,289,,286
10,4,,9.9,313,,309
10.1,5,,10.1,270,,265
10.3,3,,9.9,287,,284
9.6,3,,10,264,,261
10.2,1,,10,324,,323
10.3,3,,10,263,,260
9.6,8,,9.9,270,,262
10.3,4,,10.1,263,,259
10.3,3,,10,302,,299
10.3,2,,10,285,,283
10.2,5,,10,302,,297
10.1,6,,9.9,304,,298
9.5,5,,10.1,301,,296
10.1,2,,9.8,271,,269
9.9,4,,10.1,302,,298
9.9,4,,9.9,281,,277
10.1,4,,10.2,275,,271
10.1,1,,9.8,269,,268
10.3,2,,10.2,306,,304
9.7,5,,9.9,276,,271
9.6,6,,10.1,281,,275
9.8,3,,10,285,,282
10.5,0,,9.9,286,,286
10,4,,10,275,,271
10.1,4,,10,304,,300
10,6,,10,273,,267
10.1,6,,10,254,,248
9.9,5,,10,275,,270
9.7,3,,10,283,,280
10,1,,9.9,276,,275
9.9,1,,9.9,264,,263
10.1,4,,10.5,320,,316
10.1,4,,9.8,305,,301
9.9,3,,9.9,279,,276
9.9,2,,10,285,,283
10,4,,10.1,302,,298
10.3,4,,10,291,,287
9.8,2,,10,294,,292
9.9,3,,9.9,290,,287
10,4,,10.1,295,,291
10.1,2,,10.2,278,,276
10,3,,9.8,297,,294
10.1,7,,9.9,295,,288
10,6,,10,317,,311
10.1,7,,10.1,317,,310
10,5,,9.9,267,,262
9.7,0,,10,295,,295
9.8,3,,10,277,,274
10.1,2,,10.1,318,,316
10.2,4,,10,313,,309
9.9,8,,10,287,,279
9.9,5,,9.9,293,,288
10.2,4,,10,294,,290
10,3,,10,293,,290
9.8,4,,10.1,313,,309
10.2,3,,9.9,284,,281
9.7,3,,10,284,,281
10.1,2,,10,307,,305
10.1,3,,9.9,286,,283
10.1,8,,10,312,,304
10.1,6,,10,295,,289
9.6,1,,10.1,327,,326
10.4,3,,10,292,,289
10.6,3,,9.9,276,,273
10.5,3,,10,288,,285
10.3,3,,10,262,,259
10.1,4,,10.1,310,,306
9.5,1,,9.8,285,,284
10.6,4,,10.1,291,,287
9.8,7,,10,287,,280
9.9,2,,9.9,312,,310
9.8,2,,10.3,304,,302
10.3,4,,9.8,252,,248
9.7,5,,10,274,,269
10,2,,10,293,,291
10.1,4,,10.2,304,,300
10,2,,9.4,252,,250
9.9,1,,9.9,305,,304
9.9,5,,10,283,,278
10.2,2,,10,293,,291
10,5,,10,264,,259
9.6,2,,9.9,303,,301
10.1,4,,10.1,301,,297
10,9,,9.9,307,,298
10,4,,10.2,282,,278
9.8,5,,9.8,284,,279
10.1,5,,10,293,,288
10.1,3,,9.8,301,,298
10,3,,10.3,305,,302
10.1,2,,10,277,,275
10.2,4,,10,287,,283
10.1,5,,10.1,281,,276
9.8,6,,9.9,279,,273
10,5,,10,307,,302
9.9,5,,10,292,,287
10.1,1,,10,260,,259
10,1,,10,297,,296
10.1,4,,10,277,,273
10.2,0,,10,278,,278
10,2,,9.9,315,,313
9.6,2,,10.1,272,,270
9.8,3,,10.1,292,,289
9.4,1,,10,305,,304
10.2,1,,10,301,,300
9.8,3,,9.9,282,,279
10.2,4,,10.1,285,,281
9.9,2,,10,295,,293
10,3,,10,298,,295
9.9,1,,10.1,290,,289
10.1,4,,10.1,274,,270
9.5,1,,10,309,,308
10.8,3,,9.8,269,,266
10.1,1,,10.1,303,,302
,,,9.995,,,
0.266592117,,,0.133657479,,,
